Iteration,Host,IP Source,IP Destination,Source Port,Destination Port,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746273872.809334,,,0,
1,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746273872.814385,,,0,
1,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746273872.810939,,,10,
1,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746273872.812947,,,2,
1,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746273872.82614,,,51,
1,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2973,1746273872.8339825,0,[],0,33439914.585964154
1,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8582,1746273872.8431184,0,[],10,34953021.19196167
1,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8534,1746273872.844329,0,[],51,35157592.48042905
1,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8521,1746273872.843109,0,[],2,35204477.08969728
1,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8541,1746273872.8469985,0,[],51,35128577.645161904
1,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8532,1746273872.8455849,0,[],51,35165632.54793212
1,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2971,1746273872.835975,0,[],0,33246477.37809273
1,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8525,1746273872.8446078,0,[],51,35194727.15092558
2,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746274218.917169,,,0,
2,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746274218.918134,,,0,
2,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746274218.922869,,,10,
2,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746274218.931484,,,51,
2,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746274218.939432,,,2,
2,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8733,1746274218.9573948,0,[],2,34350307.56681396
2,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8745,1746274218.9654455,0,[],51,34301812.9391287
2,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2970,1746274218.9556663,0,[],0,31298026.0913219
2,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8753,1746274218.96544,0,[],51,34270553.00705291
2,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8758,1746274218.9647963,0,[],51,34250914.54688197
2,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8739,1746274218.9535527,0,[],10,34324965.16979283
2,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2959,1746274218.9567587,0,[],0,31610419.759076823
2,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8753,1746274218.9649322,0,[],51,34270484.44775156
3,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746274565.031211,,,0,
3,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746274565.059082,,,0,
3,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746274565.034853,,,10,
3,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746274565.044888,,,2,
3,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746274565.053592,,,51,
3,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8801,1746274565.0730228,0,[],51,34086755.670860074
3,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8827,1746274565.074088,0,[],10,33983487.80846275
3,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8803,1746274565.0753682,0,[],51,34078726.616282865
3,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2959,1746274565.0775347,0,[],0,31747420.843729563
3,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2961,1746274565.0639398,0,[],0,31478832.63845292
3,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8798,1746274565.0738833,0,[],51,34098347.931402616
3,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8793,1746274565.0634224,0,[],2,34116665.38668454
3,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8800,1746274565.0740697,0,[],51,34090611.474080555
4,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746274911.091194,,,0,
4,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746274911.07482,,,0,
4,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746274911.070172,,,10,
4,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746274911.083035,,,2,
4,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746274911.086871,,,51,
4,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8913,1746274911.114119,0,[],51,33656276.5710592
4,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2966,1746274911.108481,0,[],0,31139504.72463246
4,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8917,1746274911.1150522,0,[],51,33641159.44755736
4,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8853,1746274911.1107733,0,[],2,33884615.490399465
4,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8928,1746274911.1143644,0,[],51,33599779.49050179
4,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2974,1746274911.109614,0,[],0,30857227.27669754
4,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8902,1746274911.113339,0,[],51,33697966.724747956
4,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8928,1746274911.114783,0,[],10,33597757.15190445
