Iteration,Host,IP Source,IP Destination,Source Port,Destination Port,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741295488.430847,,,0,
1,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741295488.425762,,,10,
1,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741295488.427421,,,0,
1,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741295488.424916,,,2,
1,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741295488.417305,,,51,
1,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741295488.4453943,0,[],0,15737739.880879713
1,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295488.4507716,0,[],51,15633698.826285738
1,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295488.4519536,0,[],51,15632974.017750174
1,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741295488.4372706,0,[],2,15530419.831324168
1,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295488.453244,0,[],51,15632840.84050337
1,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741295488.4393673,0,[],0,15904299.577077175
1,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741295488.4404523,0,[],10,15800863.424936935
1,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295488.4495897,0,[],51,15633943.506362831
2,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741295655.985832,,,0,
2,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741295655.983502,,,0,
2,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741295655.989673,,,10,
2,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741295655.983605,,,2,
2,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741295655.995737,,,51,
2,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295656.010444,0,[],51,12287745.010170467
2,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741295656.01509,0,[],0,11278682.708740212
2,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295656.0121593,0,[],51,12287800.400345411
2,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741295656.007496,0,[],0,11289946.238199865
2,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741295656.0085511,0,[],10,11390704.79075114
2,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295656.009691,0,[],51,12288010.722458959
2,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741295656.0098054,0,[],2,12180210.2837097
2,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295656.0130541,0,[],51,12287472.795557098
3,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741295823.575894,,,0,
3,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741295823.57079,,,10,
3,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741295823.569683,,,0,
3,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741295823.581898,,,2,
3,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741295823.58369,,,51,
3,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295823.6172082,0,[],51,12476818.168203434
3,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741295823.6101975,0,[],0,11604435.443878183
3,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295823.6174664,0,[],51,12476416.549297288
3,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295823.6158957,0,[],51,12477888.804092145
3,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741295823.61787,0,[],2,12360382.722283041
3,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741295823.5910027,0,[],0,11491451.899210619
3,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741295823.6124024,0,[],10,11511948.585510256
3,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295823.6150804,0,[],51,12477103.307190979
4,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741295991.161566,,,0,
4,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741295991.165459,,,10,
4,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741295991.165621,,,0,
4,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741295991.163858,,,51,
4,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741295991.163686,,,2,
4,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741295991.178165,0,[],2,12270604.480396623
4,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295991.1802964,0,[],51,12202253.96782459
4,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741295991.175087,0,[],0,11133382.00251262
4,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741295991.1796649,0,[],10,11072934.62753295
4,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295991.1801305,0,[],51,12202031.363541834
4,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295991.1801863,0,[],51,12202322.04154685
4,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741295991.1773694,0,[],0,11005698.204040527
4,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741295991.1821206,0,[],51,12201410.511928791
5,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296158.757744,,,0,
5,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296158.748751,,,10,
5,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296158.73158,,,0,
5,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296158.758009,,,51,
5,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296158.746339,,,2,
5,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.775059,0,[],51,12437881.604589602
5,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296158.7667797,0,[],0,11365165.23361206
5,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.7739143,0,[],51,12438401.9511316
5,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296158.7688673,0,[],10,11326879.501342773
5,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296158.7695723,0,[],0,11221747.716267914
5,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.7745261,0,[],51,12438218.601624979
5,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296158.769645,0,[],2,12464823.706784237
5,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.7748365,0,[],51,12438144.7480584
6,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296326.288466,,,0,
6,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296326.287833,,,10,
6,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296326.298537,,,0,
6,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296326.299784,,,51,
6,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296326.29634,,,2,
6,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296326.3114629,0,[],0,11049825.9862264
6,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296326.3121371,0,[],10,11084282.39822386
6,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296326.3168128,0,[],51,12527192.802942945
6,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296326.3122952,0,[],0,11207790.692647295
6,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296326.3127227,0,[],51,12528739.794336192
6,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296326.3131242,0,[],51,12528602.282206213
6,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296326.317853,0,[],2,12636830.83081487
